Election,County,Office,Party,Candidate,Votes,ElectionDayVotes,MailVotes,ProvisionalVotes
2020 Presidential Election,WARREN,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",6066,2920,3074,72
2020 Presidential Election,WARREN,President of the United States,Republican,"TRUMP, DONALD J.",14237,12125,1909,203
2020 Presidential Election,WARREN,President of the United States,Libertarian,"JORGENSEN, JO",347,250,91,6
2020 Presidential Election,WASHINGTON,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",45088,19409,25266,413
2020 Presidential Election,WASHINGTON,President of the United States,Republican,"TRUMP, DONALD J.",72080,60042,11184,854
2020 Presidential Election,WASHINGTON,President of the United States,Libertarian,"JORGENSEN, JO",1310,896,401,13
2020 Presidential Election,WAYNE,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",9191,3671,5459,61
2020 Presidential Election,WAYNE,President of the United States,Republican,"TRUMP, DONALD J.",18637,15215,3250,172
2020 Presidential Election,WAYNE,President of the United States,Libertarian,"JORGENSEN, JO",261,195,63,3
2020 Presidential Election,WESTMORELAND,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",72129,31597,39502,1030
2020 Presidential Election,WESTMORELAND,President of the United States,Republican,"TRUMP, DONALD J.",130218,109498,19098,1622
2020 Presidential Election,WESTMORELAND,President of the United States,Libertarian,"JORGENSEN, JO",2350,1707,609,34
2020 Presidential Election,WYOMING,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",4704,2180,2463,61
2020 Presidential Election,WYOMING,President of the United States,Republican,"TRUMP, DONALD J.",9936,8317,1503,116
2020 Presidential Election,WYOMING,President of the United States,Libertarian,"JORGENSEN, JO",218,159,54,5
2020 Presidential Election,YORK,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",88114,35869,50122,2123
2020 Presidential Election,YORK,President of the United States,Republican,"TRUMP, DONALD J.",146733,119209,24554,2970
2020 Presidential Election,YORK,President of the United States,Libertarian,"JORGENSEN, JO",3624,2458,1048,118
